MAIN_ID RA DEC TYPED_ID Diameter_diameter Diameter_Q Diameter_unit Diameter_error Diameter_filter Diameter_method Diameter_bibcode FLUX_V PLX_VALUE SCRIPT_NUMBER_ID
"* 145 CMa" "07 16 36.8345" "-23 18 56.138" "" "" "" "" "" "" "" "" 4.789999961853027 1.216 0
"* E Cen" "12 08 14.7046" "-48 41 33.041" "" "" "" "" "" "" "" "" 5.340000152587891 6.046 0
"*  28 Mon" "08 01 13.3357" "-01 23 33.393" "" "" "" "" "" "" "" "" 4.679999828338623 7.250 0
"*  71 Dra" "20 19 36.7272" "+62 15 26.797" "" "" "" "" "" "" "" "" 5.709000110626221 7.884 0
"HD 162189" "17 51 32.5316" "-40 46 20.872" "" "" "" "" "" "" "" "" 5.958000183105469 4.828 0
"* tet Pav" "18 48 37.9048" "-65 04 39.648" "" "" "" "" "" "" "" "" 5.701000213623047 15.231 0
"* tet Gru" "23 06 52.7304" "-43 31 13.285" "" "" "" "" "" "" "" "" 4.331999778747559 24.730 0
"*  82 Peg" "23 52 37.1072" "+10 56 50.232" "" "" "" "" "" "" "" "" 5.300000190734863 18.092 0
"HD  60060" "07 29 59.7226" "-52 39 04.164" "" "" "" "" "" "" "" "" 5.86299991607666 9.236 0
"* alf For A" "03 12 04.5298" "-28 59 15.439" "" "" "" "" "" "" "" "" 3.9800000190734863 71.434 0
"*  30 Com" "12 49 17.4507" "+27 33 08.563" "" "" "" "" "" "" "" "" 5.78000020980835 11.861 0
"*  51 Eri" "04 37 36.1326" "-02 28 24.775" "" "" "" "" "" "" "" "" 5.209000110626221 33.439 0
"HD  26659" "04 30 00.3551" "+83 20 25.356" "" "" "" "" "" "" "" "" 5.4720001220703125 10.897 0
"HD  76376" "08 55 12.4298" "-18 14 28.289" "" "" "" "" "" "" "" "" 5.741000175476074 7.051 0
"* lam01 Phe" "00 31 24.9810" "-48 48 12.651" "" "" "" "" "" "" "" "" 4.769999980926514 18.471 0
"HD  54732" "07 07 13.2812" "-51 58 05.785" "" "" "" "" "" "" "" "" 5.952000141143799 5.452 0
"HD  46089" "06 31 48.2987" "+11 32 39.882" "" "" "" "" "" "" "" "" 5.210000038146973 15.398 0
"HD 219482" "23 16 57.6874" "-62 00 04.312" "" "" "" "" "" "" "" "" 5.646999835968018 48.917 0
"*  11 Lyn" "06 37 38.3871" "+56 51 27.109" "" "" "" "" "" "" "" "" 5.889999866485596 8.494 0
"*  49 Cas" "02 05 31.5501" "+76 06 54.216" "" "" "" "" "" "" "" "" 5.21999979019165 7.776 0
"HD 221861" "23 34 59.0427" "+71 38 31.359" "" "" "" "" "" "" "" "" 5.840000152587891 1.826 0
"* kap Ara" "17 26 00.0431" "-50 38 00.623" "" "" "" "" "" "" "" "" 5.192999839782715 7.586 0
"* kap For" "02 22 32.5904" "-23 49 00.479" "" "" "" "" "" "" "" "" 5.197999954223633 42.912 0
"* z Cen" "13 46 56.3517" "-36 15 06.960" "" "" "" "" "" "" "" "" 5.146999835968018 8.533 0
"HD  57608" "07 22 03.4786" "+00 10 37.637" "" "" "" "" "" "" "" "" 5.9710001945495605 1.833 0
"HD 199955A" "20 58 30.031" "+50 27 42.44" "" "" "" "" "" "" "" "" 5.960000038146973 "" 0
"* eps Per" "03 57 51.2320" "+40 00 36.775" "" "" "" "" "" "" "" "" 2.890000104904175 5.110 0
"V* AT Dra" "16 17 15.3511" "+59 45 18.060" "" "" "" "" "" "" "" "" 5.400000095367432 4.763 0
"HD 221420" "23 33 19.5789" "-77 23 07.194" "" 2620000.00 "" km 69600.00 BV BrighCol 2013A&A...554A..84M 5.806000232696533 32.102 0
"* i Vir" "13 26 43.1665" "-12 42 27.586" "" "" "" "" "" "" "" "" 5.25 6.634 0
"HD  53686" "07 07 22.3986" "+34 00 33.439" "" "" "" "" "" "" "" "" 5.929999828338623 3.825 0
"HD 140227" "15 37 39.1284" "+69 17 00.040" "" "" "" "" "" "" "" "" 5.626999855041504 4.258 0
"HD  22252" "03 30 51.7078" "-66 29 22.962" "" "" "" "" "" "" "" "" 5.800000190734863 4.115 0
"HD 170740" "18 31 25.6939" "-10 47 45.008" "" "" "" "" "" "" "" "" 5.71999979019165 4.416 0
"* alf Hya" "09 27 35.2427" "-08 39 30.958" "" "" "" "" "" "" "" "" 1.9700000286102295 18.090 0
"*   1 Sgr" "18 11 43.3327" "-23 42 04.433" "" "" "" "" "" "" "" "" 4.980000019073486 12.259 0
"* L02 Pup" "07 13 32.3185" "-44 38 22.951" "" "" "" "" "" "" "" "" 5.099999904632568 17.791 0
"HD  21688" "03 29 36.0279" "-12 40 29.048" "" "" "" "" "" "" "" "" 5.576000213623047 6.981 0
"* eps Her" "17 00 17.3737" "+30 55 35.056" "" "" "" "" "" "" "" "" 3.9200000762939453 21.040 0
"*  17 Sex" "10 10 07.5395" "-08 24 29.395" "" "" "" "" "" "" "" "" 5.901000022888184 5.470 0
"* A Boo" "14 17 59.8173" "+35 30 34.244" "" "" "" "" "" "" "" "" 4.796000003814697 13.479 0
"HD 165438" "18 06 15.1971" "-04 45 04.508" "" 5430000.00 "" km "" "" "" 2011A&A...536A..71J 5.741000175476074 27.923 0
"*  32 Ori" "05 30 47.0509" "+05 56 53.292" "" "" "" "" "" "" "" "" 4.199999809265137 10.770 0
"* chi Car" "07 56 46.7200" "-52 58 56.443" "" "" "" "" "" "" "" "" 3.430999994277954 5.686 0
"*  57 Psc" "00 46 32.9518" "+15 28 31.832" "" "" "" "" "" "" "" "" 5.380000114440918 4.566 0
"V* V4089 Sgr" "19 34 08.4856" "-40 02 04.702" "" "" "" "" "" "" "" "" 5.909999847412109 6.562 0
"* pi.03 Ori" "04 49 50.4109" "+06 57 40.588" "" 1.39 "" mas 0.02 "" Interfer 2009ApJ...694.1085V 3.190000057220459 123.940 0
"* alf Sco B" "16 29 24.20" "-26 25 51.0" "" "" "" "" "" "" "" "" 5.199999809265137 "" 0
"* ksi Boo" "14 51 23.3799" "+19 06 01.699" "" "" "" "" "" "" "" "" 4.5929999351501465 148.980 0
"*  63 Eri" "04 59 50.4534" "-10 15 47.916" "" "" "" "" "" "" "" "" 5.389999866485596 18.500 0
"*  42 Aql" "19 37 47.3178" "-04 38 51.505" "" "" "" "" "" "" "" "" 5.679999828338623 31.117 0
"HD 107418" "12 20 55.7128" "-13 33 56.610" "" "" "" "" "" "" "" "" 5.138999938964844 16.210 0
"* tet Ant" "09 44 12.0951" "-27 46 10.101" "" "" "" "" "" "" "" "" 4.789999961853027 9.610 0
"HD 217484" "23 01 19.3854" "-28 51 14.260" "" "" "" "" "" "" "" "" 5.541999816894531 6.270 0
"* G Cen" "12 26 31.7595" "-51 27 02.289" "" "" "" "" "" "" "" "" 4.808000087738037 7.280 0
"* rho01 Eri" "03 01 10.0261" "-07 39 46.832" "" "" "" "" "" "" "" "" 5.75 10.422 0
"* kap Aur" "06 15 22.6890" "+29 29 53.076" "" "" "" "" "" "" "" "" 4.349999904632568 18.430 0
"* chi Pup" "07 57 40.1062" "-30 20 04.456" "" "" "" "" "" "" "" "" 4.789999961853027 1.716 0
"* x01 Cen" "12 23 35.4195" "-35 24 45.635" "" "" "" "" "" "" "" "" 5.310999870300293 7.367 0
"*  55 UMa" "11 19 07.8861" "+38 11 08.135" "" "" "" "" "" "" "" "" 4.800000190734863 16.052 0
"HD  43318" "06 15 34.2651" "-00 30 43.880" "" "" "" "" "" "" "" "" 5.650000095367432 27.521 0
"* kap Ser" "15 48 44.3767" "+18 08 29.634" "" "" "" "" "" "" "" "" 4.090000152587891 8.540 0
"*  53 Her" "16 52 58.0577" "+31 42 06.022" "" "" "" "" "" "" "" "" 5.333000183105469 33.601 0
"HD  40733" "05 58 37.5470" "-44 02 04.417" "" "" "" "" "" "" "" "" 5.802000045776367 3.047 0
"* mu. Eri" "04 45 30.1503" "-03 15 16.776" "" "" "" "" "" "" "" "" 4.0 6.250 0
"HD 158261" "17 26 46.1453" "+34 41 44.883" "" "" "" "" "" "" "" "" 5.940000057220459 11.042 0
"*   9 Cyg" "19 34 50.9283" "+29 27 46.684" "" "" "" "" "" "" "" "" 5.4070000648498535 5.374 0
"* eta CMi" "07 28 02.0748" "+06 56 31.094" "" "" "" "" "" "" "" "" 5.21999979019165 10.217 0
"* del Vir" "12 55 36.2086" "+03 23 50.893" "" "" "" "" "" "" "" "" 3.380000114440918 16.440 0
"HD  52312" "07 00 23.7565" "-08 24 24.546" "" "" "" "" "" "" "" "" 5.939000129699707 3.162 0
"*  80 Cet" "02 36 00.0478" "-07 49 53.745" "" "" "" "" "" "" "" "" 5.534999847412109 6.002 0
"M  14" "17 37 36.15" "-03 14 45.3" "" "" "" "" "" "" "" "" 5.730000019073486 0.129 0
"*  35 Lyn" "08 51 56.8306" "+43 43 35.774" "" "" "" "" "" "" "" "" 5.1479997634887695 12.236 0
"* zet02 Aqr" "22 28 49.8888" "-00 01 11.872" "" "" "" "" "" "" "" "" 4.340000152587891 34.507 0
"* mu. Psc" "01 30 11.1144" "+06 08 37.757" "" "" "" "" "" "" "" "" 4.840000152587891 10.730 0
"* w Cen" "12 42 35.4514" "-48 48 47.189" "" "" "" "" "" "" "" "" 4.659999847412109 17.110 0
"* tet Cet" "01 24 01.4052" "-08 10 59.721" "" 14000000.00 "" km "" "" "" 2011A&A...536A..71J 3.5899999141693115 28.660 0
"* 133 Tau" "05 47 42.9074" "+13 53 58.545" "" "" "" "" "" "" "" "" 5.289999961853027 3.460 0
"HD 103079A" "11 51 51.2242" "-65 12 21.276" "" "" "" "" "" "" "" "" 4.989999771118164 8.679 0
"HD 210074" "22 07 28.5927" "+19 28 31.903" "" "" "" "" "" "" "" "" 5.739999771118164 15.806 0
"HD  40657" "06 00 03.3496" "-03 04 27.330" "" "" "" "" "" "" "" "" 4.519999980926514 9.782 0
"HD 212330" "22 24 56.3686" "-57 47 50.841" "" "" "" "" "" "" "" "" 5.309999942779541 49.165 0
"* nu. Mic" "20 33 55.0725" "-44 30 57.764" "" 14100000.00 "" km "" "" "" 2011A&A...536A..71J 5.118000030517578 12.936 0
"* tet UMi" "15 31 24.9136" "+77 20 57.695" "" "" "" "" "" "" "" "" 4.98199987411499 4.080 0
"* ksi Aur" "05 54 50.7669" "+55 42 25.080" "" "" "" "" "" "" "" "" 4.960000038146973 13.370 0
"*  39 Leo" "10 17 14.5383" "+23 06 22.384" "" "" "" "" "" "" "" "" 5.820000171661377 44.901 0
"* eps Cru" "12 21 21.6093" "-60 24 04.129" "" "" "" "" "" "" "" "" 3.5899999141693115 14.190 0
"* kap02 Boo" "14 13 29.0076" "+51 47 23.882" "" "" "" "" "" "" "" "" 4.510000228881836 20.153 0
"* h Boo" "14 49 18.6703" "+46 06 58.334" "" "" "" "" "" "" "" "" 5.756999969482422 20.826 0
"*  31 Com" "12 51 41.9201" "+27 32 26.565" "" "" "" "" "" "" "" "" 4.940000057220459 11.847 0
"* bet Sco" "16 05 26.23" "-19 48 19.4" "" "" "" "" "" "" "" "" 2.5 "" 0
"HD  28226" "04 28 00.7827" "+21 37 11.650" "" "" "" "" "" "" "" "" 5.710999965667725 20.159 0
"*  21 Ari" "02 15 42.7766" "+25 02 34.962" "" "" "" "" "" "" "" "" 5.579999923706055 19.580 0
"HD  52556" "07 02 17.4939" "+15 20 09.635" "" "" "" "" "" "" "" "" 5.75 5.510 0
"* sig Col" "05 56 20.9432" "-31 22 56.780" "" "" "" "" "" "" "" "" 5.510000228881836 2.295 0
"* 115 Tau" "05 27 10.0947" "+17 57 43.960" "" "" "" "" "" "" "" "" 5.4039998054504395 5.064 0
"* pi.01 UMa" "08 39 11.7046" "+65 01 15.263" "" "" "" "" "" "" "" "" 5.639999866485596 69.258 0
"HD  42540" "06 07 03.4067" "-62 09 16.449" "" "" "" "" "" "" "" "" 5.040999889373779 8.378 0
"*  74 Psc B" "01 05 41.7111" "+21 27 55.612" "" "" "" "" "" "" "" "" 5.454999923706055 11.378 0
"* rho Psc" "01 26 15.2623" "+19 10 20.450" "" "" "" "" "" "" "" "" 5.343999862670898 38.839 0
"* phi Oph" "16 31 08.3673" "-16 36 45.830" "" "" "" "" "" "" "" "" 4.269999980926514 13.390 0
"* del Aur" "05 59 31.6184" "+54 17 05.056" "" "" "" "" "" "" "" "" 3.7200000286102295 23.056 0
"* gam Cir B" "15 23 22.6915" "-59 19 13.748" "" "" "" "" "" "" "" "" 5.590000152587891 "" 0
"* mu.01 Her" "17 46 27.5472" "+27 43 14.560" "" "" "" "" "" "" "" "" 3.4200000762939453 119.925 0
"* k Hya" "14 23 05.7738" "-27 45 14.462" "" "" "" "" "" "" "" "" 4.75 19.059 0
"* h01 Pup" "08 11 21.4934" "-39 37 06.758" "" "" "" "" "" "" "" "" 4.420000076293945 2.383 0
"HD   9353" "01 33 25.7075" "+58 19 38.449" "" "" "" "" "" "" "" "" 5.709000110626221 1.721 0
"HD  87808" "10 07 09.4993" "-17 08 30.237" "" "" "" "" "" "" "" "" 5.581999778747559 8.189 0
"HD 225197" "00 04 19.7908" "-16 31 44.531" "" 13900000.00 "" km "" "" "" 2011A&A...536A..71J 5.769000053405762 9.529 0
"HD 142139" "15 56 05.9113" "-60 28 56.944" "" "" "" "" "" "" "" "" 5.760000228881836 14.371 0
"* kap01 Cet" "03 19 21.6963" "+03 22 12.715" "" 0.88 "" mas 0.07 "" Interfer 2009ApJ...694.1085V 4.849999904632568 109.410 0
"* g Per" "02 02 18.1084" "+54 29 15.145" "" "" "" "" "" "" "" "" 5.039999961853027 4.076 0
"* tet Cyg" "19 36 26.5343" "+50 13 15.964" "" "" "" "" "" "" "" "" 4.480000019073486 54.540 0
"*  17 Crt B" "11 32 16.0399" "-29 15 47.899" "" "" "" "" "" "" "" "" 5.671000003814697 35.524 0
"*  21 Vul" "20 14 14.5295" "+28 41 41.341" "" "" "" "" "" "" "" "" 5.189000129699707 10.430 0
"HD 104304" "12 00 44.4601" "-10 26 46.067" "" "" "" "" "" "" "" "" 5.550000190734863 78.336 0
"HD 124471" "14 16 38.7150" "-66 35 16.429" "" "" "" "" "" "" "" "" 5.75 2.100 0
"M  10" "16 57 09.05" "-04 06 01.1" "" "" "" "" "" "" "" "" 4.980000019073486 0.196 0
"* kap Tuc A" "01 15 46.0891" "-68 52 33.401" "" "" "" "" "" "" "" "" 4.949999809265137 42.991 0
"HD  76291" "08 56 49.9526" "+45 37 53.925" "" "" "" "" "" "" "" "" 5.710999965667725 13.368 0
"* tet02 Ser" "18 56 14.6410" "+04 12 07.659" "" "" "" "" "" "" "" "" 4.980000019073486 24.531 0
"*  19 UMi" "16 10 49.5244" "+75 52 39.222" "" "" "" "" "" "" "" "" 5.4730000495910645 5.627 0
"HD  37289" "05 42 26.4485" "+65 41 51.537" "" "" "" "" "" "" "" "" 5.609000205993652 10.595 0
"* tet Dra" "16 01 53.3463" "+58 33 54.905" "" "" "" "" "" "" "" "" 4.0 47.540 0
"*  44 Psc" "00 25 24.2083" "+01 56 22.892" "" "" "" "" "" "" "" "" 5.769999980926514 5.491 0
"* tau Oct" "23 28 03.7855" "-87 28 55.966" "" "" "" "" "" "" "" "" 5.489999771118164 6.801 0
"* gam Gru" "21 53 55.7261" "-37 21 53.478" "" "" "" "" "" "" "" "" 3.009999990463257 15.450 0
"* pi. Sco" "15 58 51.1132" "-26 06 50.788" "" "" "" "" "" "" "" "" 2.9100000858306885 5.570 0
"*  14 Lyn" "06 53 05.0484" "+59 26 54.751" "" "" "" "" "" "" "" "" 5.380000114440918 6.700 0
"*  35 Com" "12 53 17.7470" "+21 14 41.809" "" "" "" "" "" "" "" "" 4.909999847412109 11.520 0
"HD 218630" "23 09 57.3469" "-42 51 40.470" "" "" "" "" "" "" "" "" 5.829999923706055 28.918 0
"* bet Aps" "16 43 04.6585" "-77 31 02.759" "" "" "" "" "" "" "" "" 4.239999771118164 20.953 0
"* e Eri" "03 19 55.6509" "-43 04 11.215" "" 1180000.00 "" km 13900.00 "" "" 2016A&A...585A...5B 4.269999980926514 165.524 0
"*  46 LMi" "10 53 18.7048" "+34 12 53.537" "" "" "" "" "" "" "" "" 3.8299999237060547 34.380 0
"* mu. Lep" "05 12 55.9029" "-16 12 19.668" "" 4720000.00 "" km "" V Interfer 2014MNRAS.443.1629S 3.2899999618530273 19.177 0
"* b Cen" "14 41 57.5906" "-37 47 36.594" "" "" "" "" "" "" "" "" 4.0 9.620 0
"HD  21402" "03 28 20.7005" "+33 48 27.207" "" "" "" "" "" "" "" "" 5.730000019073486 9.370 0
"HD 171961" "18 38 30.7143" "-23 30 17.622" "" "" "" "" "" "" "" "" 5.771999835968018 4.535 0
"* eta Tel" "19 22 51.2060" "-54 25 26.145" "" 1120000.00 "" km "" "" "" 2007ApJ...660.1556R 5.019999980926514 20.603 0
"HD 208682" "21 55 30.9997" "+65 19 14.914" "" "" "" "" "" "" "" "" 5.860000133514404 3.180 0
"HD 210271" "22 09 55.7011" "-34 00 53.877" "" "" "" "" "" "" "" "" 5.370999813079834 15.539 0
"*  24 Vul" "20 16 47.0862" "+24 40 15.964" "" "" "" "" "" "" "" "" 5.302000045776367 7.970 0
"*   2 PsA" "21 06 24.6772" "-32 20 29.828" "" "" "" "" "" "" "" "" 5.196000099182129 9.209 0
"HD 163145" "17 56 47.4169" "-44 20 31.986" "" "" "" "" "" "" "" "" 4.848999977111816 9.369 0
"[SC93] 343" "06 39.5" "+13 07" "" "" "" "" "" "" "" "" 5.96999979019165 "" 0
"HD 102878" "11 50 27.2770" "-62 38 57.775" "" "" "" "" "" "" "" "" 5.702000141143799 0.370 0
"* bet Ari" "01 54 38.4109" "+20 48 28.913" "" "" "" "" "" "" "" "" 2.6500000953674316 55.600 0
"HD 163376" "17 57 47.8033" "-41 42 58.661" "" "" "" "" "" "" "" "" 4.86299991607666 7.220 0
"* eta Cas" "00 49 06.2945" "+57 48 54.638" "" "" "" "" "" "" "" "" 3.440000057220459 168.832 0
"* eps Sex" "10 17 37.8019" "-08 04 08.089" "" "" "" "" "" "" "" "" 5.239999771118164 16.860 0
"HD  23005" "03 46 00.9400" "+67 12 05.768" "" "" "" "" "" "" "" "" 5.7820000648498535 18.817 0
"*  32 Eri A" "03 54 17.5018" "-02 57 17.039" "" "" "" "" "" "" "" "" 4.699999809265137 9.456 0
"HD 168838" "18 23 28.8266" "-36 14 16.758" "" 13800000.00 "" km "" "" "" 2011A&A...536A..71J 5.51800012588501 10.963 0
"*  27 Tau" "03 49 09.7425" "+24 03 12.300" "" "" "" "" "" "" "" "" 3.630000114440918 8.530 0
"*  10 Del" "20 41 16.2079" "+14 34 58.360" "" "" "" "" "" "" "" "" 5.998000144958496 6.618 0
"* tet CMa" "06 54 11.3988" "-12 02 19.061" "" "" "" "" "" "" "" "" 4.079999923706055 12.068 0
"HD  18778" "03 11 42.6740" "+81 28 14.559" "" "" "" "" "" "" "" "" 5.9070000648498535 16.153 0
"*  47 Tau A" "04 13 56.3854" "+09 15 49.767" "" "" "" "" "" "" "" "" 4.949999809265137 7.962 0
"* eta Sge" "20 05 09.4929" "+19 59 27.862" "" 9850000.00 "" km 292000.00 BV BrighCol 2013A&A...554A..84M 5.0929999351501465 20.867 0
"HD  22409" "03 35 57.6667" "-11 11 37.626" "" 16400000.00 "" km "" "" "" 2011A&A...536A..71J 5.579999923706055 9.871 0
"HD  23281" "03 43 33.8338" "-10 29 08.365" "" "" "" "" "" "" "" "" 5.610000133514404 23.764 0
"HD  80170" "09 16 57.0762" "-39 24 05.536" "" "" "" "" "" "" "" "" 5.303999900817871 8.782 0
"HD 145191" "16 11 17.7041" "-41 07 11.287" "" "" "" "" "" "" "" "" 5.85699987411499 15.450 0
"* alf UMa" "11 03 43.6715" "+61 45 03.724" "" "" "" "" "" "" "" "" 1.7899999618530273 26.540 0
"HD  55762" "07 13 24.0250" "-22 40 27.269" "" "" "" "" "" "" "" "" 5.960000038146973 4.392 0
"* nu. Per" "03 45 11.6320" "+42 34 42.782" "" "" "" "" "" "" "" "" 3.799999952316284 5.860 0
"HD  89062" "10 15 31.5589" "-43 06 44.531" "" "" "" "" "" "" "" "" 5.560999870300293 6.038 0
"HD  59381" "07 29 22.1075" "-10 19 36.000" "" "" "" "" "" "" "" "" 5.705999851226807 2.634 0
"*  15 LMi" "09 48 35.3713" "+46 01 15.626" "" "" "" "" "" "" "" "" 5.099999904632568 53.128 0
"HD  12953" "02 08 40.5790" "+58 25 24.970" "" "" "" "" "" "" "" "" 5.679999828338623 0.384 0
"HD  79694" "09 14 08.2100" "-44 08 44.952" "" "" "" "" "" "" "" "" 5.849999904632568 5.423 0
"* gam01 Sgr" "18 05 01.2264" "-29 34 48.322" "" "" "" "" "" "" "" "" 4.690000057220459 2.365 0
"* phi02 Cet" "00 50 07.5889" "-10 38 39.583" "" "" "" "" "" "" "" "" 5.190000057220459 62.802 0
"* nu. Dor" "06 08 44.2619" "-68 50 36.279" "" "" "" "" "" "" "" "" 5.038000106811523 10.880 0
"*  12 Peg" "21 46 04.3635" "+22 56 55.964" "" "" "" "" "" "" "" "" 5.265999794006348 2.367 0
"*  13 Vir" "12 18 40.3174" "-00 47 13.863" "" "" "" "" "" "" "" "" 5.896999835968018 8.697 0
"* nu. Oph" "17 59 01.5919" "-09 46 25.079" "" 19000000.00 "" km 390000.00 BV BrighCol 2013A&A...554A..84M 3.3399999141693115 21.640 0
"HD  51283" "06 55 46.9280" "-22 56 29.193" "" "" "" "" "" "" "" "" 5.300000190734863 1.519 0
"HD  59026" "07 26 42.4656" "-34 08 26.499" "" "" "" "" "" "" "" "" 5.883999824523926 2.964 0
"*  11 Sco" "16 07 36.4153" "-12 44 43.464" "" "" "" "" "" "" "" "" 5.769999980926514 8.042 0
"* pi. Ara" "17 38 05.5153" "-54 30 01.562" "" "" "" "" "" "" "" "" 5.242000102996826 24.382 0
"* zet01 Ret" "03 17 46.1634" "-62 34 31.152" "" "" "" "" "" "" "" "" 5.539999961853027 83.024 0
"* 129 Tau" "05 46 45.4968" "+15 49 20.982" "" "" "" "" "" "" "" "" 5.99399995803833 3.642 0
"* zet Sge" "19 48 58.660" "+19 08 31.35" "" "" "" "" "" "" "" "" 5.033999919891357 12.790 0
"HD  39004" "05 50 58.1101" "+27 58 04.303" "" "" "" "" "" "" "" "" 5.581999778747559 8.523 0
"HD 118799" "13 39 48.5482" "-40 03 06.146" "" "" "" "" "" "" "" "" 5.603000164031982 6.804 0
"*  41 Cap" "21 42 00.6970" "-23 15 46.285" "" "" "" "" "" "" "" "" 5.239999771118164 13.485 0
"HD  42443" "06 09 47.9549" "-22 46 27.623" "" "" "" "" "" "" "" "" 5.7170000076293945 22.047 0
"* q Vel" "10 14 44.1557" "-42 07 18.993" "" "" "" "" "" "" "" "" 3.8499999046325684 32.180 0
"*  14 Oph" "16 41 42.4819" "+01 10 52.431" "" "" "" "" "" "" "" "" 5.723999977111816 18.078 0
"HD  97651" "11 13 39.3932" "-53 13 54.533" "" "" "" "" "" "" "" "" 5.739999771118164 8.028 0
"* kap01 Tau" "04 25 22.1650" "+22 17 37.937" "" 1810000.00 "" km "" "" "" 2007ApJ...660.1556R 4.201000213623047 21.190 0
"*  37 Tau" "04 04 41.7148" "+22 04 54.924" "" 15700000.00 "" km 376000.00 BV BrighCol 2013A&A...554A..84M 4.369999885559082 17.430 0
"HD 222377" "23 39 55.0403" "+09 40 38.269" "" "" "" "" "" "" "" "" 5.960000038146973 14.051 0
"* pi. Dra" "19 20 40.0933" "+65 42 52.309" "" "" "" "" "" "" "" "" 4.590000152587891 14.250 0
"* gam Cnc" "08 43 17.1481" "+21 28 06.600" "" "" "" "" "" "" "" "" 4.6519999504089355 18.000 0
"* bet Dra" "17 30 25.9616" "+52 18 04.999" "" "" "" "" "" "" "" "" 2.809999942779541 8.580 0
"HD  18262" "02 56 13.7672" "+08 22 53.623" "" "" "" "" "" "" "" "" 5.9629998207092285 23.148 0
"HD  53501" "06 59 50.5350" "-67 54 59.200" "" "" "" "" "" "" "" "" 5.170000076293945 10.594 0
"HD 164712" "18 11 15.8073" "-75 53 29.483" "" "" "" "" "" "" "" "" 5.860000133514404 14.268 0
"* kap Col" "06 16 33.1351" "-35 08 25.863" "" "" "" "" "" "" "" "" 4.369999885559082 17.870 0
"* 120 Tau" "05 33 31.6304" "+18 32 24.827" "" "" "" "" "" "" "" "" 5.690000057220459 2.541 0
"HD 204018A" "21 27 01.6230" "-42 32 52.556" "" "" "" "" "" "" "" "" 5.579999923706055 18.489 0
"HD 196857" "20 40 32.5185" "-16 07 27.034" "" "" "" "" "" "" "" "" 5.798999786376953 10.227 0
"* y Pup" "07 29 05.6951" "-38 48 43.442" "" "" "" "" "" "" "" "" 5.394999980926514 5.084 0
"* b03 Hya" "10 53 29.5322" "-20 08 19.426" "" "" "" "" "" "" "" "" 5.239999771118164 33.233 0
"*  14 Cep" "22 02 04.5726" "+58 00 01.309" "" "" "" "" "" "" "" "" 5.541999816894531 0.907 0
"* del Cep" "22 29 10.2626" "+58 24 54.697" "" "" "" "" "" "" "" "" 3.75 3.555 0
"*  53 Vir" "13 12 03.5431" "-16 11 54.970" "" "" "" "" "" "" "" "" 5.039999961853027 29.900 0
"*  90 Leo" "11 34 42.4902" "+16 47 48.895" "" "" "" "" "" "" "" "" 5.940000057220459 1.720 0
"* omi Gru" "23 26 36.5609" "-52 43 17.679" "" "" "" "" "" "" "" "" 5.521999835968018 31.420 0
"V* V1762 Cyg" "19 08 25.7885" "+52 25 32.631" "" "" "" "" "" "" "" "" 5.89300012588501 13.846 0
"* k Lup" "15 25 20.2130" "-38 44 00.995" "" "" "" "" "" "" "" "" 4.599999904632568 17.831 0
"*  26 Oph" "17 00 09.5293" "-24 59 20.901" "" "" "" "" "" "" "" "" 5.730999946594238 29.407 0
"HD  92095" "10 39 05.6555" "+53 40 05.878" "" "" "" "" "" "" "" "" 5.5370001792907715 6.779 0
"*  15 Hya A" "08 51 34.4091" "-07 10 38.104" "" "" "" "" "" "" "" "" 5.730000019073486 "" 0
"HD  65810" "07 59 52.0475" "-18 23 57.180" "" "" "" "" "" "" "" "" 4.610000133514404 14.598 0
"*  42 Dra" "18 25 59.1369" "+65 33 48.531" "" 28700000.00 "" km 835000.00 "" "" 2016A&A...585A...5B 4.822999954223633 11.056 0
"HD  60228" "07 30 30.9186" "-54 23 57.713" "" "" "" "" "" "" "" "" 5.940999984741211 6.567 0
"V* EN UMa" "10 21 03.3408" "+68 44 51.552" "" "" "" "" "" "" "" "" 5.900000095367432 7.693 0
"* del Vol" "07 16 49.8238" "-67 57 25.748" "" "" "" "" "" "" "" "" 3.990000009536743 4.420 0
"*  29 Com" "12 48 54.2131" "+14 07 21.311" "" "" "" "" "" "" "" "" 5.681000232696533 8.436 0
"*   7 Cep" "21 27 46.1418" "+66 48 32.749" "" "" "" "" "" "" "" "" 5.409999847412109 4.348 0
"* gam CMa" "07 03 45.4930" "-15 37 59.829" "" "" "" "" "" "" "" "" 4.119999885559082 7.380 0
"* kap02 Sgr" "20 23 53.1766" "-42 25 22.337" "" "" "" "" "" "" "" "" 5.639999866485596 10.470 0
"* sig Leo" "11 21 08.1934" "+06 01 45.570" "" "" "" "" "" "" "" "" 4.039999961853027 14.820 0
"HD  83126" "09 39 27.8745" "+67 16 20.024" "" "" "" "" "" "" "" "" 5.947000026702881 5.463 0
"V* V448 Car" "06 47 18.7083" "-55 32 23.964" "" "" "" "" "" "" "" "" 5.610000133514404 4.746 0
"*  19 Hya" "09 08 42.1810" "-08 35 22.320" "" "" "" "" "" "" "" "" 5.609000205993652 4.872 0
"HD  21291" "03 29 04.1328" "+59 56 25.201" "" "" "" "" "" "" "" "" 4.21999979019165 1.053 0
