MAIN_ID RA DEC TYPED_ID Diameter_diameter Diameter_Q Diameter_unit Diameter_error Diameter_filter Diameter_method Diameter_bibcode FLUX_V PLX_VALUE SCRIPT_NUMBER_ID
"* g Psc" "01 11 06.7633" "+31 25 29.025" "" "" "" "" "" "" "" "" 5.1519999504089355 3.881 0
"HD   9900" "01 38 07.5665" "+57 58 39.475" "" "" "" "" "" "" "" "" 5.535999774932861 2.412 0
"* gam01 Nor" "16 17 00.9341" "-50 04 05.233" "" "" "" "" "" "" "" "" 5.090000152587891 2.220 0
"* eps Sge" "19 37 17.3930" "+16 27 46.093" "" "" "" "" "" "" "" "" 5.658999919891357 5.737 0
"*  26 Cir" "14 52 35.2587" "-63 48 35.356" "" "" "" "" "" "" "" "" 5.960000038146973 1.962 0
"*  16 Cyg A" "19 41 48.9534" "+50 31 30.219" "" 1700000.00 "" km 0.01 "" Seism 2017A&A...601A..67C 5.949999809265137 47.324 0
"* f Eri A" "03 48 35.8740" "-37 37 12.515" "" "" "" "" "" "" "" "" 4.71999979019165 18.809 0
"*  30 Oph" "17 01 03.6017" "-04 13 21.517" "" "" "" "" "" "" "" "" 4.811999797821045 8.927 0
"*  50 Dra" "18 46 22.2418" "+75 26 02.240" "" "" "" "" "" "" "" "" 5.357999801635742 11.415 0
"*   9 Boo" "13 56 34.1810" "+27 29 31.493" "" "" "" "" "" "" "" "" 5.0 5.211 0
"* bet CrA" "19 10 01.7558" "-39 20 26.864" "" "" "" "" "" "" "" "" 4.09499979019165 6.880 0
"* b02 Car" "08 59 24.1816" "-59 05 01.362" "" "" "" "" "" "" "" "" 5.159999847412109 38.077 0
"V* V1022 Cas" "23 57 08.4720" "+55 42 20.539" "" "" "" "" "" "" "" "" 5.560999870300293 15.717 0
"*  12 Sco A" "16 12 16.0428" "-28 25 02.224" "" "" "" "" "" "" "" "" 5.800000190734863 9.948 0
"* o Per" "03 42 22.6455" "+33 57 54.089" "" "" "" "" "" "" "" "" 4.9720001220703125 3.090 0
"* del Tuc" "22 27 19.9630" "-64 57 58.896" "" "" "" "" "" "" "" "" 4.489999771118164 11.598 0
"HD  98993" "11 23 12.6876" "-36 09 53.176" "" "" "" "" "" "" "" "" 4.991000175476074 6.097 0
"HD  71115" "08 25 54.7670" "+07 33 52.214" "" "" "" "" "" "" "" "" 5.122000217437744 7.836 0
"HD   3574" "00 39 09.8940" "+49 21 16.517" "" "" "" "" "" "" "" "" 5.419000148773193 2.113 0
"* b Vel" "08 40 37.5701" "-46 38 55.476" "" "" "" "" "" "" "" "" 3.809999942779541 0.670 0
"* 136 Tau" "05 53 19.6460" "+27 36 44.137" "" "" "" "" "" "" "" "" 4.552000045776367 7.710 0
"* pi. And" "00 36 52.8492" "+33 43 09.638" "" "" "" "" "" "" "" "" 4.360000133514404 5.450 0
"* ksi CrB" "16 22 05.8238" "+30 53 31.185" "" "" "" "" "" "" "" "" 4.848999977111816 17.192 0
"* del Oph" "16 14 20.7385" "-03 41 39.561" "" "" "" "" "" "" "" "" 2.75 19.060 0
"NGC  5139" "13 26 47.28" "-47 28 46.1" "" "" "" "" "" "" "" "" 5.329999923706055 0.193 0
"HD 163532" "17 56 47.7441" "-04 04 54.557" "" "" "" "" "" "" "" "" 5.439000129699707 7.616 0
"HD  49048" "06 45 59.3941" "-14 47 46.064" "" "" "" "" "" "" "" "" 5.297999858856201 8.007 0
"HD 204411" "21 26 51.6219" "+48 50 06.599" "" 5730000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.309999942779541 8.380 0
"* eps Lib" "15 24 11.8837" "-10 19 20.203" "" "" "" "" "" "" "" "" 4.920000076293945 34.622 0
